epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8478325009346008,9.999999747378752e-06,0.7594072222709656,0.8873617053031921,0.7805957198143005,0.8396226167678833,0.7080569267272949,0.8562577366828918,0.8148584961891174
1,0.869360089302063,9.999999747378752e-06,0.7205524444580078,0.9088816046714783,0.8148038983345032,0.8419811129570007,0.7151459455490112,0.8560885787010193,0.8207547068595886
2,0.8849896788597107,9.999999747378752e-06,0.6922079920768738,0.9130852818489075,0.8395753502845764,0.8431603908538818,0.7086676359176636,0.8571428656578064,0.8136792182922363
3,0.8849896788597107,9.999999747378752e-06,0.6851998567581177,0.9170967936515808,0.8383957743644714,0.8431603908538818,0.6992743611335754,0.8557336330413818,0.8183962106704712
4,0.8902978301048279,9.999999747378752e-06,0.6693751811981201,0.9235444664955139,0.8513712882995605,0.8466981053352356,0.6942756175994873,0.8661710023880005,0.8242924809455872
5,0.8988499045372009,9.999999747378752e-06,0.6655889749526978,0.925902247428894,0.8549100756645203,0.8561320900917053,0.6861591935157776,0.8706896305084229,0.8337264060974121
6,0.8985549807548523,9.999999747378752e-06,0.6612163782119751,0.9225174188613892,0.8602182269096375,0.8525943160057068,0.6823740005493164,0.8700980544090271,0.8372641801834106
7,0.9006192684173584,9.999999747378752e-06,0.6514976024627686,0.9316375255584717,0.864051878452301,0.8596698045730591,0.6789178848266602,0.8704156279563904,0.8396226167678833
8,0.9059274792671204,9.999999747378752e-06,0.647887647151947,0.930144727230072,0.871719241142273,0.8573113083839417,0.6793466806411743,0.8727050423622131,0.8408018946647644
9,0.9071070551872253,9.999999747378752e-06,0.6464706659317017,0.9288401007652283,0.873783528804779,0.8632075190544128,0.6734752058982849,0.8713592290878296,0.8466981053352356
10,0.9088764190673828,9.999999747378752e-06,0.6393360495567322,0.9334588646888733,0.8770274519920349,0.8655660152435303,0.6673287153244019,0.8742368817329407,0.8443396091461182
11,0.9138897061347961,9.999999747378752e-06,0.6373770236968994,0.9331040978431702,0.880271315574646,0.8596698045730591,0.6649765968322754,0.8748481273651123,0.849056601524353
12,0.9224417805671692,9.999999747378752e-06,0.6323694586753845,0.9446367025375366,0.8855794668197632,0.8620283007621765,0.6649245023727417,0.876225471496582,0.8431603908538818
13,0.9100560545921326,9.999999747378752e-06,0.6319820880889893,0.9329800605773926,0.882630467414856,0.8655660152435303,0.6612862348556519,0.8743902444839478,0.8455188870429993
14,0.9150692820549011,9.999999747378752e-06,0.631056547164917,0.9354636669158936,0.8805661797523499,0.864386796951294,0.657587468624115,0.8774510025978088,0.8443396091461182
15,0.9215570688247681,9.999999747378752e-06,0.6196779608726501,0.9484213590621948,0.8947213292121887,0.8691037893295288,0.6525224447250366,0.8792682886123657,0.8502358198165894
16,0.919492781162262,9.999999747378752e-06,0.6211703419685364,0.9409387707710266,0.8926570415496826,0.8667452931404114,0.6539451479911804,0.8771289587020874,0.8502358198165894
17,0.9230315685272217,9.999999747378752e-06,0.6189007759094238,0.9412860870361328,0.8935417532920837,0.8691037893295288,0.6506320834159851,0.8757539391517639,0.8561320900917053
18,0.9259805083274841,9.999999747378752e-06,0.6174119710922241,0.9456589818000793,0.8929519057273865,0.8655660152435303,0.6493313908576965,0.87469881772995,0.8561320900917053
19,0.9265703558921814,9.999999747378752e-06,0.614142894744873,0.9460386633872986,0.8944264054298401,0.8667452931404114,0.6481289863586426,0.8778718113899231,0.8561320900917053
20,0.9206723570823669,9.999999747378752e-06,0.6140812039375305,0.9417263865470886,0.891182541847229,0.8679245114326477,0.6445028185844421,0.8790810108184814,0.8573113083839417
21,0.9236213564872742,9.999999747378752e-06,0.6100056767463684,0.9434607028961182,0.8956060409545898,0.8679245114326477,0.6434237360954285,0.8781664371490479,0.8584905862808228
22,0.9289295077323914,9.999999747378752e-06,0.6112848520278931,0.9495199918746948,0.9041580557823181,0.8679245114326477,0.6403228640556335,0.8792270421981812,0.8584905862808228
23,0.9262754321098328,9.999999747378752e-06,0.6055196523666382,0.947661817073822,0.9023886919021606,0.8679245114326477,0.6391096115112305,0.8799999952316284,0.8561320900917053
24,0.9230315685272217,9.999999747378752e-06,0.6065708994865417,0.9429551362991333,0.8920672535896301,0.8679245114326477,0.6397205591201782,0.8802902102470398,0.8584905862808228
25,0.93158358335495,9.999999747378752e-06,0.6022650599479675,0.9520846009254456,0.9023886919021606,0.8691037893295288,0.6404827833175659,0.8804348111152649,0.8596698045730591
26,0.933647871017456,9.999999747378752e-06,0.5969324111938477,0.9523220062255859,0.9071070551872253,0.8691037893295288,0.6360761523246765,0.8789346218109131,0.8561320900917053
27,0.9280447959899902,9.999999747378752e-06,0.6017314791679382,0.9474992156028748,0.8994396924972534,0.8714622855186462,0.6350814700126648,0.8802902102470398,0.8584905862808228
28,0.938956081867218,9.999999747378752e-06,0.5971239805221558,0.9559416770935059,0.908581554889679,0.8726415038108826,0.638283908367157,0.8777239918708801,0.8549528121948242
29,0.9289295077323914,9.999999747378752e-06,0.6015335917472839,0.9451332688331604,0.8991447687149048,0.8714622855186462,0.6353076696395874,0.8847087621688843,0.8596698045730591
