epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7048068642616272,0.0005000000237487257,1.0725328922271729,0.7482852935791016,0.6434680223464966,0.8066037893295288,0.8097233772277832,0.8301158547401428,0.760613203048706
1,0.7906222343444824,0.0005000000237487257,0.8807075619697571,0.8240315318107605,0.7401946187019348,0.8466981053352356,0.7696354985237122,0.8562653660774231,0.8219339847564697
2,0.8201120495796204,0.0005000000237487257,0.8216760158538818,0.8487773537635803,0.7779415845870972,0.8337264060974121,0.7441424131393433,0.8408262729644775,0.8160377144813538
3,0.8236508369445801,0.0005000000237487257,0.8060259222984314,0.8522580862045288,0.7791212201118469,0.8419811129570007,0.7238765954971313,0.8529411554336548,0.8207547068595886
4,0.8307284116744995,0.0005000000237487257,0.7836182713508606,0.8654404878616333,0.790917158126831,0.8349056839942932,0.7100375890731812,0.8500619530677795,0.8089622855186462
5,0.8381008505821228,0.0005000000237487257,0.7625388503074646,0.8689633011817932,0.7959303855895996,0.8396226167678833,0.699639081954956,0.8566084504127502,0.8101415038108826
6,0.8484222888946533,0.0005000000237487257,0.7468670010566711,0.8781989216804504,0.7994691729545593,0.8419811129570007,0.7038713097572327,0.8550186157226562,0.8136792182922363
7,0.8493070006370544,0.0005000000237487257,0.7418333292007446,0.8762853741645813,0.804187536239624,0.8290094137191772,0.7076500654220581,0.8467243313789368,0.8077830076217651
8,0.8572692275047302,0.0005000000237487257,0.73140549659729,0.8875969052314758,0.8103803992271423,0.8443396091461182,0.6882213950157166,0.858208954334259,0.8136792182922363
9,0.8575641512870789,0.0005000000237487257,0.7169243097305298,0.8891388177871704,0.8159834742546082,0.8360849022865295,0.6898629069328308,0.8557214140892029,0.8113207817077637
10,0.8655263781547546,0.0005000000237487257,0.7125657796859741,0.8966634273529053,0.8162783980369568,0.8431603908538818,0.688727617263794,0.8574969172477722,0.8160377144813538
11,0.8708345890045166,0.0005000000237487257,0.7100949287414551,0.9032781720161438,0.8207018375396729,0.8290094137191772,0.7009062767028809,0.8464373350143433,0.8125
12,0.8658213019371033,0.0005000000237487257,0.7061413526535034,0.899391233921051,0.8277794122695923,0.8502358198165894,0.6851901412010193,0.8602941036224365,0.8278301954269409
13,0.8684753775596619,0.0005000000237487257,0.6954065561294556,0.8975422978401184,0.8292539119720459,0.8525943160057068,0.6792784929275513,0.8634146451950073,0.8349056839942932
14,0.8711294531822205,0.0005000000237487257,0.6938862204551697,0.8976327776908875,0.8274844884872437,0.8561320900917053,0.6721204519271851,0.8714462518692017,0.8313679099082947
15,0.8696549534797668,0.0005000000237487257,0.6922372579574585,0.898905336856842,0.8233559131622314,0.8466981053352356,0.675308346748352,0.8634686470031738,0.8278301954269409
16,0.8755529522895813,0.0005000000237487257,0.6836445331573486,0.9014982581138611,0.8339722752571106,0.8478773832321167,0.6671450734138489,0.8649318218231201,0.823113203048706
17,0.8696549534797668,0.0005000000237487257,0.6831764578819275,0.9014400243759155,0.8307284116744995,0.8396226167678833,0.6673362851142883,0.8591022491455078,0.8125
18,0.879091739654541,0.0005000000237487257,0.6768683791160583,0.9045789241790771,0.8330875635147095,0.8349056839942932,0.6631500720977783,0.8551980257034302,0.8148584961891174
19,0.8849896788597107,0.0005000000237487257,0.6720553040504456,0.9047468304634094,0.8431141376495361,0.8620283007621765,0.6652483940124512,0.8743902444839478,0.8455188870429993
20,0.8728988766670227,0.0005000000237487257,0.6751002073287964,0.9038828611373901,0.8375110626220703,0.8325471878051758,0.6644671559333801,0.8560885787010193,0.8207547068595886
21,0.8823356032371521,0.0005000000237487257,0.6677755117416382,0.9103382229804993,0.8413447141647339,0.838443398475647,0.6655182242393494,0.862500011920929,0.8136792182922363
22,0.8808611035346985,0.0005000000237487257,0.6668621897697449,0.9069250226020813,0.8419345617294312,0.8431603908538818,0.6662216186523438,0.8701134920120239,0.8136792182922363
23,0.8841049671173096,0.0005000000237487257,0.6619788408279419,0.9078822135925293,0.8457682132720947,0.8408018946647644,0.6847077012062073,0.850931704044342,0.8077830076217651
24,0.8888233304023743,0.0002500000118743628,0.6572102904319763,0.9189450144767761,0.8425243496894836,0.838443398475647,0.6484416127204895,0.8560885787010193,0.8207547068595886
25,0.891182541847229,0.0002500000118743628,0.6474130153656006,0.9141045808792114,0.8504865765571594,0.8349056839942932,0.6517545580863953,0.8627204298973083,0.8077830076217651
26,0.892362117767334,0.0002500000118743628,0.642077624797821,0.9159823060035706,0.8552049398422241,0.8337264060974121,0.6566221714019775,0.8564294576644897,0.8089622855186462
27,0.8956060409545898,0.0002500000118743628,0.6412240862846375,0.9217059016227722,0.8540253639221191,0.8408018946647644,0.6472570896148682,0.8639798760414124,0.8089622855186462
28,0.8991447687149048,0.0002500000118743628,0.6352860331535339,0.9229074716567993,0.8649365901947021,0.8360849022865295,0.6595625877380371,0.8559006452560425,0.8125
29,0.897670328617096,0.0002500000118743628,0.6369153261184692,0.9202144145965576,0.8605131506919861,0.8396226167678833,0.656370997428894,0.8592777252197266,0.8136792182922363
30,0.892362117767334,0.0002500000118743628,0.6373676657676697,0.9187993407249451,0.8575641512870789,0.8372641801834106,0.645957350730896,0.8685208559036255,0.8101415038108826
31,0.8994396924972534,0.0002500000118743628,0.6335334181785583,0.9250474572181702,0.8625774383544922,0.8360849022865295,0.6538072824478149,0.8576732873916626,0.8172169923782349
